2019-08-14 15:32:46,526 - __main__ - INFO:agent started: [7204]
2019-08-14 15:32:46,526 - plugins.base - INFO:plugin[ host ] running ...
2019-08-14 15:32:46,526 - plugins.base - DEBUG:plugin[ host ] make event: {'type': 'host', 'msg': {'name': '1.1.1.1', 'cpu_number': 0, 'os': '', 'kernel': '', 'mem_size': '[]', 'ip': '1.1.1.1', 'cpu_core': 0, 'arch': '', 'cpu_vcore': 0, 'disk_info': '{}'}}
2019-08-14 15:32:46,526 - plugins.ens - DEBUG:ENS get event: {'type': 'host', 'msg': {'name': '1.1.1.1', 'cpu_number': 0, 'os': '', 'kernel': '', 'mem_size': '[]', 'ip': '1.1.1.1', 'cpu_core': 0, 'arch': '', 'cpu_vcore': 0, 'disk_info': '{}'}}
2019-08-14 15:32:51,532 - plugins.base - DEBUG:plugin[ host ] make event: {'type': 'host', 'msg': {'name': '1.1.1.1', 'cpu_number': 0, 'os': '', 'kernel': '', 'mem_size': '[]', 'ip': '1.1.1.1', 'cpu_core': 0, 'arch': '', 'cpu_vcore': 0, 'disk_info': '{}'}}
2019-08-14 15:32:52,530 - plugins.ens - DEBUG:ENS get event: {'type': 'host', 'msg': {'name': '1.1.1.1', 'cpu_number': 0, 'os': '', 'kernel': '', 'mem_size': '[]', 'ip': '1.1.1.1', 'cpu_core': 0, 'arch': '', 'cpu_vcore': 0, 'disk_info': '{}'}}
2019-08-14 15:32:56,537 - plugins.base - DEBUG:plugin[ host ] make event: {'type': 'host', 'msg': {'name': '1.1.1.1', 'cpu_number': 0, 'os': '', 'kernel': '', 'mem_size': '[]', 'ip': '1.1.1.1', 'cpu_core': 0, 'arch': '', 'cpu_vcore': 0, 'disk_info': '{}'}}
2019-08-14 15:32:58,534 - plugins.ens - DEBUG:ENS get event: {'type': 'host', 'msg': {'name': '1.1.1.1', 'cpu_number': 0, 'os': '', 'kernel': '', 'mem_size': '[]', 'ip': '1.1.1.1', 'cpu_core': 0, 'arch': '', 'cpu_vcore': 0, 'disk_info': '{}'}}
2019-08-14 15:33:01,543 - plugins.base - DEBUG:plugin[ host ] make event: {'type': 'host', 'msg': {'name': '1.1.1.1', 'cpu_number': 0, 'os': '', 'kernel': '', 'mem_size': '[]', 'ip': '1.1.1.1', 'cpu_core': 0, 'arch': '', 'cpu_vcore': 0, 'disk_info': '{}'}}
2019-08-14 15:33:04,535 - plugins.ens - DEBUG:ENS get event: {'type': 'host', 'msg': {'name': '1.1.1.1', 'cpu_number': 0, 'os': '', 'kernel': '', 'mem_size': '[]', 'ip': '1.1.1.1', 'cpu_core': 0, 'arch': '', 'cpu_vcore': 0, 'disk_info': '{}'}}
2019-08-14 15:33:06,548 - plugins.base - DEBUG:plugin[ host ] make event: {'type': 'host', 'msg': {'name': '1.1.1.1', 'cpu_number': 0, 'os': '', 'kernel': '', 'mem_size': '[]', 'ip': '1.1.1.1', 'cpu_core': 0, 'arch': '', 'cpu_vcore': 0, 'disk_info': '{}'}}
2019-08-14 15:33:06,549 - plugins.ens - DEBUG:ENS get event: {'type': 'host', 'msg': {'name': '1.1.1.1', 'cpu_number': 0, 'os': '', 'kernel': '', 'mem_size': '[]', 'ip': '1.1.1.1', 'cpu_core': 0, 'arch': '', 'cpu_vcore': 0, 'disk_info': '{}'}}
2019-08-14 15:33:11,551 - plugins.base - DEBUG:plugin[ host ] make event: {'type': 'host', 'msg': {'name': '1.1.1.1', 'cpu_number': 0, 'os': '', 'kernel': '', 'mem_size': '[]', 'ip': '1.1.1.1', 'cpu_core': 0, 'arch': '', 'cpu_vcore': 0, 'disk_info': '{}'}}
