2019-06-14 17:10:12,131 - __main__ - INFO : started: [25053]
2019-06-14 17:10:12,131 - plugins.base - INFO : plugin[host] running ...
2019-06-14 17:10:12,131 - plugins.base - DEBUG : plugin[host] make event:{'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
2019-06-14 17:10:12,131 - plugins.ens - DEBUG : ENS get event: {'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
2019-06-14 17:10:17,135 - plugins.base - DEBUG : plugin[host] make event:{'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
2019-06-14 17:10:18,135 - plugins.ens - DEBUG : ENS get event: {'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
2019-06-14 17:10:22,140 - plugins.base - DEBUG : plugin[host] make event:{'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
2019-06-14 17:10:24,139 - plugins.ens - DEBUG : ENS get event: {'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
2019-06-14 17:10:27,146 - plugins.base - DEBUG : plugin[host] make event:{'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
2019-06-14 17:10:30,143 - plugins.ens - DEBUG : ENS get event: {'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
2019-06-14 17:10:32,151 - plugins.base - DEBUG : plugin[host] make event:{'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
2019-06-14 17:10:32,152 - plugins.ens - DEBUG : ENS get event: {'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
2019-06-14 17:10:37,157 - plugins.base - DEBUG : plugin[host] make event:{'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
